gamma,Load
0.010162198,35.72
0.010315421,36.67
0.010521355,37.72
0.009890201,30.66
0.009124425,24.72
0.00838229,19.3
0.007640922,14.41
0.006858598,9.7
0.006157418,5.88
0.005441158,2.83
0.004753202,0.84
0.004399345,-0.08
0.00409907,-0.52
0.003943379,-0.91
0.003509898,-1.49
0.002961928,-1.94
0.002230912,-2.26
0.001556439,-2.61
0.000740446,-3.1
-1.74E-05,-3.66
-0.000864066,-4.36
-0.001693412,-5.22
-0.002358364,-6.41
-0.003042995,-7.95
-0.003722131,-9.96
-0.004552308,-12.34
-0.005300639,-14.95
-0.005908347,-17.78
-0.006622113,-20.82
-0.007070337,-23.54
-0.007238381,-24.08
-0.007479581,-24.85
-0.007600603,-25.99
-0.00784027,-27.07
-0.007949082,-27.4
-0.008115592,-28.32
-0.008233354,-29.36
-0.008261021,-29.42
-0.008484205,-30.53
-0.00867902,-31.68
-0.008866872,-32.67
-0.009042073,-33.64
-0.009182644,-34.67
-0.009293573,-35.64
-0.009504741,-36.09
-0.008823176,-29.03
-0.008139753,-23.07
-0.007543099,-17.97
-0.006781155,-13.07
-0.006065661,-8.94
-0.005360585,-5.56
-0.004625477,-2.84
-0.004032525,-1.07
-0.003623386,0.02
-0.003534565,0.42
-0.002901592,1.4
-0.001928922,2.01
-0.000912491,2.44
0.000201504,3.09
0.001323293,3.93
0.002405087,5.37
0.003490011,7.4
0.004571039,10.08
0.005556166,13.54
0.00657126,17.61
0.007580664,21.83
0.008383057,26.14
0.009450666,31.03
